1,29439.268768819875
2,13576.636791930412
3,9141.5564101708
4,6630.3199026640405
5,4626.773376894157
6,3142.221265706665
7,2867.748362008925
8,2635.405436626203
9,2410.465425022504
10,2187.79887621646
11,1972.1452803877748
12,1767.2879519967075
13,1664.1490425951754
14,1565.9680759937164
15,1471.5839278459894
16,1377.5308904711471
17,1300.32586459038
18,1224.1761950598686
19,1162.2595093839016
20,1106.0124230261133
21,1051.9758828944528
22,998.9821022639577
23,951.0672095167047
24,904.3380263559606
25,867.3581055277203
26,835.974367389843
27,810.013982214187
28,784.4707891041245
29,759.6912695041195
30,736.1465905027662
31,713.0418315632825
32,691.4349308534423
33,670.3972109559737
34,649.7296125545561
35,629.6963400114629
36,609.8696525287778
37,591.0845746465715
38,572.9958490070992
39,557.8162516485615
40,542.9273197753753
